geolocation_city,product_category_name,total_orders
barra velha,moveis_decoracao,405
barracao,beleza_saude,53
barracão,beleza_saude,9
barras,brinquedos,24
barreira,informatica_acessorios,18
barreiras,esporte_lazer,596
barreirinhas,automotivo,59
barreiros,bebes,40
barretos,moveis_decoracao,2209
barrinha,cama_mesa_banho,532
barro,beleza_saude,23
barro alto,beleza_saude,25
barro preto,automotivo,4
barrocas,cool_stuff,16
barrolandia,automotivo,6
barrolândia,automotivo,2
barros cassal,esporte_lazer,24
barroso,automotivo,315
barueri,cama_mesa_banho,4233
barão,informatica_acessorios,6
barão ataliba nogueira,pcs,3
barão de cocais,cool_stuff,120
barão de cotegipe,moveis_decoracao,3
barão de juparana,automotivo,3
barão do triunfo,moveis_decoracao,1
bastos,eletrodomesticos,507
bataguassu,beleza_saude,225
bataipora,brinquedos,2
batalha,beleza_saude,15
batatais,relogios_presentes,1450
bataypora,brinquedos,13
batayporã,brinquedos,8
baturite,esporte_lazer,27
baturité,esporte_lazer,2
bauru,esporte_lazer,3192
bayeux,informatica_acessorios,32
bebedouro,esporte_lazer,980
beberibe,relogios_presentes,42
bela cruz,consoles_games,46
bela vista,beleza_saude,49
bela vista de goias,brinquedos,72
bela vista de goiás,brinquedos,26
bela vista de minas,cama_mesa_banho,46
bela vista do maranhao,telefonia,5
bela vista do paraiso,cama_mesa_banho,94
bela vista do paraíso,cama_mesa_banho,20
belem,beleza_saude,3217
belem de sao francisco,cool_stuff,4
belem do sao francisco,cool_stuff,6
belford roxo,cama_mesa_banho,915
belmonte,telefonia,46
belo campo,beleza_saude,19
belo horizonta,bebes,2
belo horizonte,cama_mesa_banho,56054
belo jardim,beleza_saude,81
belo oriente,pet_shop,348
belo vale,cama_mesa_banho,22
belém,beleza_saude,509
belém do são francisco,cool_stuff,12
benedito leite,instrumentos_musicais,3
benedito novo,artigos_de_natal,78
benevides,beleza_saude,28
bento de abreu,esporte_lazer,28
bento goncalves,moveis_decoracao,1143
bento gonçalves,informatica_acessorios,243
bequimao,telefonia,9
bequimão,telefonia,1
berilo,esporte_lazer,29
berizal,eletronicos,10
bernardino de campos,automotivo,138
bertioga,cama_mesa_banho,4320
bertolinia,esporte_lazer,3
bertolínia,esporte_lazer,1
bertopolis,cama_mesa_banho,12
bertópolis,cama_mesa_banho,3
betim,relogios_presentes,2125
bezerros,utilidades_domesticas,404
bh,beleza_saude,1
bias fortes,informatica_acessorios,6
bicas,cama_mesa_banho,267
biguacu,relogios_presentes,213
biguaçu,relogios_presentes,57
bilac,casa_construcao,129
birigui,beleza_saude,2603
birigüi,beleza_saude,416
biritiba mirim,fashion_calcados,12
biritiba-mirim,fashion_calcados,194
biritinga,automotivo,13
bituruna,esporte_lazer,166
blumenau,esporte_lazer,1261
boa esperanca,automotivo,498
boa esperanca do iguacu,utilidades_domesticas,9
boa esperanca do sul,automotivo,153
boa esperança,automotivo,88
boa esperança do iguaçu,utilidades_domesticas,1
boa esperança do sul,automotivo,24
boa ventura,beleza_saude,1
boa viagem,beleza_saude,52
boa vista,beleza_saude,315
boa vista da aparecida,cama_mesa_banho,44
boa vista das missoes,beleza_saude,9
boa vista das missões,beleza_saude,2
boa vista do burica,cool_stuff,32
boa vista do buricá,cool_stuff,8
boa vista do cadeado,automotivo,4
boa vista do gurupi,telefonia,10
boa vista do sul,telefonia,4
boca da mata,automotivo,16
bocaina,perfumaria,150
bocaiuva,esporte_lazer,237
bocaiuva do sul,cama_mesa_banho,16
bocaiúva,esporte_lazer,57
bocaiúva do sul,cama_mesa_banho,3
bodo,cool_stuff,3
bodoco,cama_mesa_banho,23
bodocó,cama_mesa_banho,2
bodoquena,construcao_ferramentas_construcao,15
bofete,moveis_decoracao,156
boituva,informatica_acessorios,3200
bom conselho,telefonia,118
bom despacho,cama_mesa_banho,3120
bom jardim,cama_mesa_banho,297
bom jardim de goias,esporte_lazer,14
bom jardim de goiás,esporte_lazer,6
bom jardim de minas,automotivo,88
bom jesus,telefonia,106
bom jesus da lapa,esporte_lazer,288
bom jesus da penha,cama_mesa_banho,28
bom jesus da serra,cool_stuff,6
bom jesus das selvas,informatica_acessorios,34
bom jesus de goias,telefonia,16
bom jesus do amparo,beleza_saude,6
bom jesus do araguaia,automotivo,10
bom jesus do galho,consoles_games,74
bom jesus do itabapoana,informatica_acessorios,1075
bom jesus do norte,relogios_presentes,70
bom jesus do sul,papelaria,10
bom jesus do tocantins,brinquedos,17
bom jesus dos perdoes,cama_mesa_banho,640
bom jesus dos perdões,cama_mesa_banho,100
bom principio,bebes,106
bom princípio,bebes,18
bom repouso,cama_mesa_banho,76
bom retiro,automotivo,21
bom retiro do sul,brinquedos,33
bom sucesso,bebes,70
bombinhas,bebes,320
bonfim,automotivo,25
bonfim paulista,cama_mesa_banho,276
bonfinopolis,beleza_saude,18
bonfinopolis de minas,beleza_saude,28
bonfinópolis,beleza_saude,6
bonfinópolis de minas,beleza_saude,7
boninal,construcao_ferramentas_construcao,18
bonito,bebes,291
bonito de minas,esporte_lazer,14
bonito de santa fe,beleza_saude,6
boqueirao do leao,informatica_acessorios,15
boqueirão do leão,informatica_acessorios,3
boquim,automotivo,12
boquira,beleza_saude,15
boraceia,relogios_presentes,23
boracéia,relogios_presentes,6
borborema,cool_stuff,174
borda da mata,informatica_acessorios,122
borrazopolis,papelaria,50
borrazópolis,papelaria,12
bossoroca,cama_mesa_banho,18
botelho,utilidades_domesticas,3
botelhos,beleza_saude,138
botucatu,cama_mesa_banho,1360
botupora,moveis_decoracao,19
botuporã,moveis_decoracao,4
botuvera,cama_mesa_banho,5
botuverá,esporte_lazer,2
braco do norte,beleza_saude,464
braco do rio,beleza_saude,6
braganca,cool_stuff,214
braganca paulista,cama_mesa_banho,1461
bragança,cool_stuff,22
bragança paulista,beleza_saude,303
bras pires,cool_stuff,10
brasil novo,cama_mesa_banho,23
brasilandia,cama_mesa_banho,32
brasilandia de minas,informatica_acessorios,44
brasileia,informatica_acessorios,21
brasilia,beleza_saude,5868
brasilia de minas,moveis_decoracao,312
brasilândia,cama_mesa_banho,6
brasilândia de minas,informatica_acessorios,13
brasiléia,informatica_acessorios,12
brasopolis,brinquedos,70
brasília,beleza_saude,1597
brasília de minas,moveis_decoracao,48
brasópolis,brinquedos,24
brauna,automotivo,11
braunas,cama_mesa_banho,8
brazabrantes,consoles_games,11
brazlandia,beleza_saude,2
brazlândia,bebes,1
brazopolis,brinquedos,26
brazópolis,brinquedos,10
braço do norte,beleza_saude,140
braço do rio,beleza_saude,5
braúnas,cama_mesa_banho,2
brejetuba,relogios_presentes,19
brejo,cool_stuff,23
brejo bonito,cool_stuff,1
brejo da madre de deus,beleza_saude,27
brejo do cruz,ferramentas_jardim,16
brejo dos santos,beleza_saude,9
brejo grande,telefonia,2
brejo santo,eletronicos,180
brejoes,malas_acessorios,7
brejolandia,telefonia,4
brejolândia,telefonia,1
brejões,malas_acessorios,3
breu branco,beleza_saude,30
breves,automotivo,61
britania,beleza_saude,20
britânia,beleza_saude,9
brodowski,cama_mesa_banho,432
brotas,esporte_lazer,603
brotas de macaubas,beleza_saude,23
brotas de macaúbas,beleza_saude,6
brumadinho,informatica_acessorios,930
brumado,informatica_acessorios,970
brusque,beleza_saude,518
brás pires,cool_stuff,1
bueno brandao,cama_mesa_banho,33
bueno brandão,cama_mesa_banho,9
